,,,,ttfb,ttfb,ttfb,ttfb,ttfb,total_time,total_time,total_time,total_time,total_time,bytes,bytes,bytes,bytes,bytes,throughput,throughput,throughput,throughput,throughput
,,,,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3
scenario,protocol,test_type,file,,,,,,,,,,,,,,,,,,,,
Packet_Loss,gopher-original,single,1mb.txt,16.0372257232666,,16.0372257232666,16.0372257232666,16.0372257232666,97.32580184936523,,97.32580184936523,97.32580184936523,97.32580184936523,1048576.0,,1048576.0,1048576.0,1048576.0,86190.99807657748,,86190.99807657748,86190.99807657748,86190.99807657748
Packet_Loss,http/1.1,multi,10_files,27.236223220825195,,27.236223220825195,27.236223220825195,27.236223220825195,293.5791015625,,293.5791015625,293.5791015625,293.5791015625,10240.0,,10240.0,10240.0,10240.0,279.03893555093555,,279.03893555093555,279.03893555093555,279.03893555093555
Packet_Loss,http/1.1,single,1kb.txt,26.65567398071289,,26.65567398071289,26.65567398071289,26.65567398071289,26.66234970092773,,26.66234970092773,26.66234970092773,26.66234970092773,1024.0,,1024.0,1024.0,1024.0,307.2497394974515,,307.2497394974515,307.2497394974515,307.2497394974515
Packet_Loss,http/1.1,single,1mb.txt,19.363880157470703,,19.363880157470703,19.363880157470703,19.363880157470703,160.11357307434082,,160.11357307434082,160.11357307434082,160.11357307434082,1048576.0,,1048576.0,1048576.0,1048576.0,52391.6107730927,,52391.6107730927,52391.6107730927,52391.6107730927
Packet_Loss,http/2,multi,10_files,69.85259056091309,,69.85259056091309,69.85259056091309,69.85259056091309,102.5714874267578,,102.5714874267578,102.5714874267578,102.5714874267578,10240.0,,10240.0,10240.0,10240.0,798.6624943749187,,798.6624943749187,798.6624943749187,798.6624943749187
Packet_Loss,http/2,single,1kb.txt,32.445430755615234,,32.445430755615234,32.445430755615234,32.445430755615234,32.578229904174805,,32.578229904174805,32.578229904174805,32.578229904174805,1024.0,,1024.0,1024.0,1024.0,251.45626463119223,,251.45626463119223,251.45626463119223,251.45626463119223
Packet_Loss,http/2,single,1mb.txt,31.322240829467773,,31.322240829467773,31.322240829467773,31.322240829467773,121.37842178344728,,121.37842178344728,121.37842178344728,121.37842178344728,1048576.0,,1048576.0,1048576.0,1048576.0,69111.19683996402,,69111.19683996402,69111.19683996402,69111.19683996402
Packet_Loss,http/3,multi,10_files,9.850502014160156,,9.850502014160156,9.850502014160156,9.850502014160156,290.0187969207764,,290.0187969207764,290.0187969207764,290.0187969207764,10240.0,,10240.0,10240.0,10240.0,282.4644501314094,,282.4644501314094,282.4644501314094,282.4644501314094
Packet_Loss,http/3,single,1kb.txt,13.468742370605469,,13.468742370605469,13.468742370605469,13.468742370605469,213.6225700378418,,213.6225700378418,213.6225700378418,213.6225700378418,1024.0,,1024.0,1024.0,1024.0,38.34800788394617,,38.34800788394617,38.34800788394617,38.34800788394617
Packet_Loss,http/3,single,1mb.txt,13.844966888427734,,13.844966888427734,13.844966888427734,13.844966888427734,409.2390537261963,,409.2390537261963,409.2390537261963,409.2390537261963,1048576.0,,1048576.0,1048576.0,1048576.0,20498.063231307453,,20498.063231307453,20498.063231307453,20498.063231307453
