,,,,ttfb,ttfb,ttfb,ttfb,ttfb,total_time,total_time,total_time,total_time,total_time,bytes,bytes,bytes,bytes,bytes,throughput,throughput,throughput,throughput,throughput
,,,,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3
scenario,protocol,test_type,file,,,,,,,,,,,,,,,,,,,,
High_Latency,gopher-original,single,1mb.txt,211.11623446146646,1.540411762794306,211.86208724975583,210.6034755706787,212.00191974639893,214.08398946126303,1.6666006851003612,213.76824378967285,213.18304538726807,214.8270606994629,1048576.0,0.0,1048576.0,1048576.0,1048576.0,39185.304028200226,304.40759215028237,39241.60039530275,39049.13912583067,39349.617114121036
High_Latency,http/1.1,multi,10_files,212.83817291259766,2.9854445748102743,214.56074714660645,211.9758129119873,214.5618200302124,2137.8490924835205,6.980909272771467,2137.2780799865723,2134.2246532440186,2141.1880254745483,10240.0,0.0,10240.0,10240.0,10240.0,38.319160314776774,0.12507783208469928,38.32912561406828,38.25926176925491,38.38404150994438
High_Latency,http/1.1,single,1kb.txt,215.04807472229004,2.8115407298788155,214.51187133789065,213.52756023406985,216.30048751831055,215.0580883026123,2.812088257875354,214.5180702209473,213.53662014007568,216.3095474243164,1024.0,0.0,1024.0,1024.0,1024.0,38.09636092703996,0.4963781610869669,38.187925108418526,37.87425029926764,38.36425364550156
High_Latency,http/1.1,single,1mb.txt,210.0187142690023,2.890422412815356,209.41901206970215,208.44709873199463,211.29047870635986,214.41777547200522,3.0300270190587906,214.19906616210935,212.85104751586914,215.87514877319336,1048576.0,0.0,1048576.0,1048576.0,1048576.0,39127.92813239493,552.1460239871587,39162.67306997204,38860.95160915345,39412.27712442497
High_Latency,http/2,multi,10_files,0.0,0.0,0.0,0.0,0.0,652.4378458658854,1.5675036927642172,651.8757343292236,651.5523195266724,653.0423164367676,10240.0,0.0,10240.0,10240.0,10240.0,125.56033559848045,0.3013238582972295,125.6681230576794,125.44403227540187,125.73053265115851
High_Latency,http/2,single,1kb.txt,421.469767888387,3.674805773567167,419.3542003631592,419.3481206893921,422.53363132476807,421.843687693278,3.728638779327702,419.7020530700683,419.69096660614014,422.92559146881104,1024.0,0.0,1024.0,1024.0,1024.0,19.420521792271845,0.17078475759908193,19.518608355800353,19.370962897637625,19.519123968670314
High_Latency,http/2,single,1mb.txt,420.3484058380127,4.156603457038092,421.4460849761963,418.59960556030273,422.64604568481445,636.9467576344808,5.85909029132905,635.0951194763184,633.6661577224731,639.3015384674072,1048576.0,0.0,1048576.0,1048576.0,1048576.0,13170.77022623313,120.68277626256186,13208.427750030596,13122.088209569301,13238.281004795692
High_Latency,http/3,multi,10_files,717.0942624409994,552.7539570212863,635.4310512542725,422.5729703903198,970.7839488983154,3707.6354026794434,493.1965854221232,3588.84596824646,3436.7640018463135,3919.1120862960815,10240.0,0.0,10240.0,10240.0,10240.0,22.348134307435046,2.8610713635469534,22.82627917854797,21.052196889024692,23.88314416140186
High_Latency,http/3,single,1kb.txt,938.8887882232666,634.4825089742073,1299.0150451660156,752.6506185531616,1305.190086364746,2791.7324701944985,361.18197970000506,2979.3148040771484,2677.334785461426,2999.9213218688965,1024.0,0.0,1024.0,1024.0,1024.0,2.9701607563300123,0.41489298464878427,2.7496255141582786,2.7308671348001488,3.0991867567740092
High_Latency,http/3,single,1mb.txt,575.2007166544596,640.0883439722512,214.0810489654541,205.67739009857178,764.1642093658447,19712.026993433636,675.6319580620346,20100.094079971313,19515.98596572876,20102.10156440735,1048576.0,0.0,1048576.0,1048576.0,1048576.0,425.8981512223483,14.89239822519435,417.3417281841883,417.30005476201364,430.2180361636029
